"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_01650",1794.53446813323,-0.674483946535942,0.0785298423671011,-8.58888705497398,8.78157903114327e-18,1.70663999775581e-17
"IBPFAHIO_02776",431.028692211506,-0.992352793809257,0.115590671325695,-8.5850595245108,9.07894077436359e-18,1.76332191421685e-17
"IBPFAHIO_02205",108.390242599593,1.94190540824146,0.226275485589976,8.58204061822365,9.32047148110169e-18,1.80909590832181e-17
"IBPFAHIO_02436",221.767535987129,-1.36918802455465,0.15974301400601,-8.57119188012277,1.02419428842139e-17,1.98670560840585e-17
"IBPFAHIO_01810",2037.16978689658,0.657095569610447,0.0768098316533319,8.55483673725697,1.18035669836466e-17,2.28818991306803e-17
"IBPFAHIO_01867",1024.92071140073,0.763598893484134,0.0895178606113798,8.53012894040347,1.46184688806505e-17,2.83209935958467e-17
"IBPFAHIO_02319",91.3830719791171,2.5632361771376,0.300521235313945,8.52930134690771,1.47234193964276e-17,2.85064575915805e-17
"IBPFAHIO_01055",2091.7042987771,-0.650691702496097,0.0763377400764229,-8.52385336328636,1.54330991801704e-17,2.98617914049355e-17
"IBPFAHIO_01795",3979.2958554052,-0.60522483982325,0.0711908549157584,-8.50144081763627,1.87251837171226e-17,3.62090481884572e-17
"IBPFAHIO_00399",1242.15880687291,0.688026774506245,0.0809867632140735,8.49554602753506,1.97004564343566e-17,3.80711320593941e-17
"IBPFAHIO_01058",39213.0556201726,0.435778811356133,0.0512966439324777,8.4952694357501,1.97474284364661e-17,3.81380691602457e-17
"IBPFAHIO_00417",286.755252260015,1.19428681098012,0.140598148557497,8.49432814893517,1.99081112467599e-17,3.84243944912494e-17
"IBPFAHIO_01068",1386.64206502526,-0.608327886831853,0.0716793549869259,-8.48679353968531,2.12416664232229e-17,4.09726965568342e-17
"IBPFAHIO_00714",737.861718905663,0.856566584236055,0.101255575483067,8.45945104898738,2.68639081597939e-17,5.17850399190043e-17
"IBPFAHIO_01108",501.697347124059,-0.912869100310017,0.107947646435475,-8.45659104625019,2.7530732679658e-17,5.30373990314657e-17
"IBPFAHIO_00201",7045.78354750196,-0.762323158245807,0.0901512789999024,-8.4560437378446,2.76601893795034e-17,5.32536149199405e-17
"IBPFAHIO_00695",3353.18311698696,0.568028073950145,0.0673657759363983,8.43199779197131,3.39813396354548e-17,6.53828887074215e-17
"IBPFAHIO_01220",17040.7428006942,0.529396591760799,0.0627862198365552,8.43173220396006,3.40585673087015e-17,6.54907276856376e-17
"IBPFAHIO_01139",190.53718313216,-1.32993975527023,0.158232099918787,-8.40499339863925,4.2788566444736e-17,8.22263812598656e-17
